Latitude;Longitude;Country
42.546245;1.601554;Andorra
23.424076;53.847818;Birleşik Arap Emirlikleri
33.93911;67.709953;Afganistan
17.060816;-61.796428;Antigua ve Barbuda
18.220554;-63.068615;Anguilla
41.153332;20.168331;Arnavutluk
40.069099;45.038189;Ermenistan
12.226079;-69.060087;Hollanda Antilleri
-11.202692;17.873887;Angora
-75.250973;-0.071389;Antarktika
-38.416097;-63.616672;Arjantin
-14.270972;-170.132217;Amerikan Samoası
47.516231;14.550072;Avusturya
-25.274398;133.775136;Avustralya
12.52111;-69.968338;Aruba
40.143105;47.576927;Azerbeycan
43.915886;17.679076;Bosna Hersek
13.193887;-59.543198;Barbados
23.684994;90.356331;Bangladeş
50.503887;4.469936;Belçika
12.238333;-1.561593;Burkina Faso
42.733883;25.48583;Bulgaristan
25.930414;50.637772;Bahreyn
-3.373056;29.918886;Burundi
9.30769;2.315834;Benin
32.321384;-64.75737;Bermuda
4.535277;114.727669;Brunei
-16.290154;-63.588653;Bolivya
-14.235004;-51.92528;Brazil
25.03428;-77.39628;Bahamalar
27.514162;90.433601;Butan
-54.423199;3.413194;Bouvet Adası
-22.328474;24.684866;Botsvana
53.709807;27.953389;Belarus
17.189877;-88.49765;Belize
56.130366;-106.346771;Kanada
-12.164165;96.870956;Cocos Adaları
-4.038333;21.758664;Kongo [DRC]
6.611111;20.939444;Orta Afrika Cumhuriyeti
-0.228021;15.827659;Kongo [Cumhuriyet]
46.818188;8.227512;İsviçre
7.539989;-5.54708;Fildişi Sahili
-21.236736;-159.777671;Cook Adaları
-35.675147;-71.542969;Şili
7.369722;12.354722;Kamerun
35.86166;104.195397;China
4.570868;-74.297333;Kolombiya
9.748917;-83.753428;Kosta Rika
21.521757;-77.781167;Küba
16.002082;-24.013197;Yeşil Burun Adaları
-10.447525;105.690449;Noel Adası
35.126413;33.429859;Kıbrıs
49.817492;15.472962;Çek Cumhuriyeti
51.165691;10.451526;Germany
11.825138;42.590275;Cibuti
56.26392;9.501785;Danimarka
15.414999;-61.370976;Dominika
18.735693;-70.162651;Dominik Cumhuriyeti
28.033886;1.659626;Cezayir
-1.831239;-78.183406;Ekvador
58.595272;25.013607;Estonya
26.820553;30.802498;Egypt
24.215527;-12.885834;Batı Sahra
15.179384;39.782334;Eritre
40.463667;-3.74922;Spain
9.145;40.489673;Etiyopya
61.92411;25.748151;Finlandiya
-16.578193;179.414413;Fiji
-51.796253;-59.523613;Falkland Adaları [Islas Malvinas]
7.425554;150.550812;Mikronezya
61.892635;-6.911806;Faroe Adaları
46.227638;2.213749;France
-0.803689;11.609444;Gabon
55.378051;-3.435973;UK
12.262776;-61.604171;Grenada
42.315407;43.356892;Gürcistan
3.933889;-53.125782;Fransız Guyanası
49.465691;-2.585278;bir tür inek
7.946527;-1.023194;Gana
36.137741;-5.345374;Cebelitarık
71.706936;-42.604303;Grönland
13.443182;-15.310139;Gambiya
9.945587;-9.696645;Gine
16.995971;-62.067641;Guadeloupe
1.650801;10.267895;Ekvator Ginesi
39.074208;21.824312;Yunanistan
